Date,Country,Cumulative number of case(s),Number of deaths,Number recovered,Weather Condition,Temperature (°C),Humidity (%),Mobility Index,Public Awareness Level
2003-03-17,germany,1.0,0.0,0,Humid,25.5,70,0.46,53
2003-03-17,Canada,8.0,2.0,0,Dry,19.3,74,0.35,83
2003-03-17,singapore,20.0,0.0,0,Rany,16.2,79,0.66,55
2003-03-17,"Hong Kong SAR, China",95.0,1.0,0,Dryy,19.9,44,0.32,77
2003-03-17,Switzerland,2.0,0.0,0,drry,26.2,57,0.48,80
2003-03-17,Thailand,1.0,0.0,0,Cloudy,25.4,71,0.76,84
2003-03-17,Viet Nam,40.0,1.0,0,Rainy,28.5,45,0.65,88
2003-03-18,Germany,2.0,0.0,0,Rainy,25.5,41,0.51,91
2003-03-18,Canada,,2.0,0,Rany,24.979299781181616,81,0.54,72
2003-03-18,China,0.0,0.0,0,Dry,22.0,34,0.65,unknown
2003-03-18,Singapore,23.0,0.0,0,Humid,29.4,63,0.2,65
2003-03-18,"hong kong sar, china",123.0,1.0,0,Rainyy,20.4,71,0.26,51
2003-03-18,"Taiwan, China",3.0,0.0,0,Dry,19.4,30,0.91,73
2003-03-18,Thailand,,,0,Cloudy,27.8,68,0.26,66
2003-03-18,Viet Nam,57.0,1.0,0,Humid,18.3,61,0.77,94
2003-03-18,Slovenia,1.0,0.0,0,,37.1,55,0.94,50
2003-03-18,United Kingdom,1.0,0.0,0,Humid,25.4,46,0.42,55
2003-03-19,Canada,8.0,2.0,0,Dry,26.7,77,0.5,54
2003-03-19,China,0.0,0.0,0,Sunny,21.0,88,0.66,94
2003-03-19,germany,1.0,0.0,0,Humid,23.4,56,0.91,99
2003-03-19,"hong kong sar, china",150.0,5.0,0,Cloudy,22.9,53,0.95,78
2003-03-19,Singapore,31.0,0.0,0,Dry,22.3,64,0.79,61
2003-03-19,Slovenia,1.0,0.0,0,Humid,28.2,75,0.27,88
2003-03-19,Spain,1.0,0.0,0,Sunny,22.8,71,0.74,unknown
2003-03-19,"Taiwan, China",3.0,0.0,0,Sunny,30.1,83,0.53,52
2003-03-19,Thailand,1.0,0.0,0,Rainy,38.3,68,0.58,97
2003-03-19,united kingdom,1.0,0.0,0,,23.5,55,0.24,unknown
2003-03-19,united states,11.0,0.0,0,Cloudy,25.8,78,0.35,76
2003-03-19,viet nam,56.0,2.0,0,Humid,26.9,67,0.83,97
2003-03-20,Canada,9.0,2.0,0,Humid,34.1,52,0.56,73
2003-03-20,China,0.0,0.0,0,Rainy,24.6,51,0.44,93
2003-03-20,germany,1.0,0.0,0,Humid,20.9,33,0.51,68
2003-03-20,"Hong Kong SAR, China",173.0,6.0,0,Humid,18.7,78,0.88,57
2003-03-20,Singapore,,0.0,0,Sunny,24.7,88,0.8,93
2003-03-20,Slovenia,1.0,0.0,0,Rainy,22.8,38,0.42,96
2003-03-20,Spain,1.0,0.0,0,Dry,35.1,33,0.29,51
2003-03-20,switzerland,,,0,Rainy,24.979299781181616,36,0.4,79
2003-03-20,"Taiwan, China",4.0,0.0,0,Dry,19.8,52,0.94,79
2003-03-20,thailand,1.0,0.0,0,Sunny,24.979299781181616,31,0.67,98
2003-03-20,United Kingdom,2.0,0.0,0,Cloudy,25.4,78,0.63,88
2003-03-20,United States,11.0,0.0,0,humidd,32.0,53,0.68,94
2003-03-20,viet nam,62.0,2.0,0,Sunny,25.3,69,0.49,81
2003-03-21,Canada,9.0,2.0,0,humidd,21.8,84,0.85,50
2003-03-21,China,0.0,0.0,0,Cloudy,24.7,60,0.62,87
2003-03-21,Germany,1.0,0.0,0,Cloudy,21.9,76,0.29,62
2003-03-21,"hong kong sar, china",203.0,6.0,0,Sunny,28.0,60,0.3,60
2003-03-21,Italy,1.0,,0,Cloudy,21.5,76,0.63,59
2003-03-21,republic of ireland,1.0,0.0,0,Dry,22.4,69,0.95,97
2003-03-21,Singapore,39.0,0.0,0,,30.8,77,0.45,75
2003-03-21,Slovenia,1.0,0.0,0,Humid,21.2,80,0.9,69
2003-03-21,spain,1.0,,0,Humid,17.8,72,0.81,66
2003-03-21,switzerland,7.0,0.0,0,Humid,25.5,63,0.4,66
2003-03-21,"Taiwan, China",6.0,0.0,0,Humid,23.2,84,0.23,53
2003-03-21,thailand,4.0,0.0,0,Dry,27.6,53,0.28,54
2003-03-21,United Kingdom,2.0,0.0,0,Rainy,26.6,78,0.78,72
2003-03-21,United States,13.0,0.0,0,Sunny,24.8,89,0.36,95
2003-03-21,Viet Nam,62.0,2.0,0,Humid,24.7,55,0.5,unknown
2003-03-22,Canada,9.0,,0,Cloudy,21.3,45,0.6,95
2003-03-22,china,0.0,0.0,0,Humid,25.4,86,0.78,77
